bucket,source,blocker_class,events,targets
2026-05-26T05:30:00Z,PR controller,consumed owner evidence,12,PR07C/HOLD-07C
2026-05-26T05:30:00Z,PR controller,single-flight/concurrency,1,PR07C/HOLD-07C
2026-05-26T05:30:00Z,critical-path launches,critical-path launch,2,productive-analysis-action
2026-05-26T06:00:00Z,PR controller,consumed owner evidence,13,PR07C/HOLD-07C
2026-05-26T06:00:00Z,PR controller,single-flight/concurrency,1,PR07C/HOLD-07C
2026-05-26T06:00:00Z,critical-path launches,critical-path launch,1,productive-analysis-action
2026-05-26T06:30:00Z,PR controller,consumed owner evidence,12,PR07C/HOLD-07C
2026-05-26T06:30:00Z,PR controller,single-flight/concurrency,1,PR07C/HOLD-07C
2026-05-26T06:30:00Z,critical-path launches,critical-path launch,2,productive-analysis-action
2026-05-26T07:00:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-26T07:00:00Z,critical-path launches,critical-path launch,2,productive-analysis-action
2026-05-26T07:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-26T07:30:00Z,critical-path launches,critical-path launch,3,productive-analysis-action
2026-05-26T08:00:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-26T08:00:00Z,critical-path launches,critical-path launch,1,productive-analysis-action
2026-05-26T08:30:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-26T08:30:00Z,critical-path launches,critical-path launch,3,productive-analysis-action
2026-05-26T09:00:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-26T09:00:00Z,critical-path launches,critical-path launch,1,productive-analysis-action
2026-05-26T09:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-26T09:30:00Z,critical-path launches,critical-path launch,2,productive-analysis-action
2026-05-26T10:00:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-26T10:00:00Z,critical-path launches,critical-path launch,1,productive-analysis-action
2026-05-26T10:30:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
