bucket,source,blocker_class,events,targets
2026-05-23T16:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-23T16:30:00Z,critical-path launches,benchmark canary/exact-stack,1,benchmark-canary-fuzzer-gap
2026-05-23T16:30:00Z,critical-path launches,critical-path launch,2,unknown
2026-05-23T17:00:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-23T17:00:00Z,critical-path launches,benchmark canary/exact-stack,2,benchmark-canary-fuzzer-gap
2026-05-23T17:00:00Z,critical-path launches,critical-path launch,1,unknown
2026-05-23T17:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-23T17:30:00Z,critical-path launches,benchmark canary/exact-stack,1,benchmark-canary-fuzzer-gap
2026-05-23T17:30:00Z,critical-path launches,critical-path launch,1,unknown
2026-05-23T18:00:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-23T18:00:00Z,critical-path launches,benchmark canary/exact-stack,2,benchmark-canary-fuzzer-gap
2026-05-23T18:00:00Z,critical-path launches,critical-path launch,1,unknown
2026-05-23T18:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-23T18:30:00Z,critical-path launches,benchmark canary/exact-stack,1,benchmark-canary-fuzzer-gap
2026-05-23T18:30:00Z,critical-path launches,critical-path launch,1,unknown
2026-05-23T19:00:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-23T19:00:00Z,critical-path launches,benchmark canary/exact-stack,1,benchmark-canary-fuzzer-gap
2026-05-23T19:00:00Z,critical-path launches,critical-path launch,1,unknown
2026-05-23T19:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-23T19:30:00Z,critical-path launches,benchmark canary/exact-stack,1,benchmark-canary-fuzzer-gap
2026-05-23T20:00:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-23T20:00:00Z,critical-path launches,benchmark canary/exact-stack,2,benchmark-canary-fuzzer-gap
2026-05-23T20:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-23T20:30:00Z,critical-path launches,benchmark canary/exact-stack,2,benchmark-canary-fuzzer-gap
2026-05-23T21:00:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-23T21:00:00Z,critical-path launches,benchmark canary/exact-stack,2,benchmark-canary-fuzzer-gap
2026-05-23T21:00:00Z,critical-path launches,critical-path launch,1,productive-analysis-action
2026-05-23T21:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-23T21:30:00Z,critical-path launches,benchmark canary/exact-stack,1,benchmark-canary-fuzzer-gap
2026-05-23T21:30:00Z,critical-path launches,critical-path launch,1,unknown
2026-05-23T21:30:00Z,critical-path launches,seed reducer/final-stack,1,seed-5200005-reducer
2026-05-23T22:00:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-23T22:00:00Z,critical-path launches,critical-path launch,2,unknown
2026-05-23T22:30:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-23T22:30:00Z,critical-path launches,benchmark canary/exact-stack,2,benchmark-canary-fuzzer-gap
2026-05-23T23:00:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-23T23:00:00Z,critical-path launches,benchmark canary/exact-stack,1,benchmark-canary-fuzzer-gap
2026-05-23T23:00:00Z,critical-path launches,critical-path launch,2,unknown
2026-05-23T23:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-23T23:30:00Z,critical-path launches,benchmark canary/exact-stack,2,benchmark-canary-fuzzer-gap
2026-05-24T00:00:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-24T00:00:00Z,critical-path launches,benchmark canary/exact-stack,1,benchmark-canary-fuzzer-gap
2026-05-24T00:00:00Z,critical-path launches,critical-path launch,2,unknown
2026-05-24T00:30:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-24T00:30:00Z,critical-path launches,benchmark canary/exact-stack,1,benchmark-canary-fuzzer-gap
2026-05-24T01:00:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-24T01:30:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-24T02:00:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-24T02:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-24T03:00:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-24T03:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-24T04:00:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-24T04:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-24T05:00:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-24T05:00:00Z,critical-path launches,critical-path launch,1,unknown
2026-05-24T05:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-24T05:30:00Z,critical-path launches,benchmark canary/exact-stack,1,benchmark-canary-fuzzer-gap
2026-05-24T05:30:00Z,critical-path launches,critical-path launch,2,unknown
2026-05-24T06:00:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-24T06:00:00Z,critical-path launches,benchmark canary/exact-stack,2,benchmark-canary-fuzzer-gap
2026-05-24T06:00:00Z,critical-path launches,critical-path launch,1,unknown
2026-05-24T06:30:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-24T06:30:00Z,critical-path launches,benchmark canary/exact-stack,1,benchmark-canary-fuzzer-gap
2026-05-24T06:30:00Z,critical-path launches,critical-path launch,1,unknown
2026-05-24T07:00:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-24T07:00:00Z,critical-path launches,benchmark canary/exact-stack,3,benchmark-canary-fuzzer-gap
2026-05-24T07:30:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-24T07:30:00Z,critical-path launches,benchmark canary/exact-stack,1,benchmark-canary-fuzzer-gap
2026-05-24T07:30:00Z,critical-path launches,critical-path launch,2,productive-analysis-action; unknown
2026-05-24T08:00:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-24T08:00:00Z,critical-path launches,benchmark canary/exact-stack,2,benchmark-canary-fuzzer-gap
2026-05-24T08:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-24T08:30:00Z,critical-path launches,benchmark canary/exact-stack,2,benchmark-canary-fuzzer-gap
2026-05-24T08:30:00Z,critical-path launches,critical-path launch,2,unknown
2026-05-24T09:00:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-24T09:00:00Z,critical-path launches,benchmark canary/exact-stack,1,benchmark-canary-fuzzer-gap
2026-05-24T09:00:00Z,critical-path launches,critical-path launch,1,unknown
2026-05-24T09:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-24T09:30:00Z,critical-path launches,benchmark canary/exact-stack,1,benchmark-canary-fuzzer-gap
2026-05-24T09:30:00Z,critical-path launches,critical-path launch,2,unknown
2026-05-24T10:00:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-24T10:00:00Z,critical-path launches,benchmark canary/exact-stack,1,benchmark-canary-fuzzer-gap
2026-05-24T10:00:00Z,critical-path launches,critical-path launch,1,unknown
2026-05-24T10:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-24T10:30:00Z,critical-path launches,benchmark canary/exact-stack,2,benchmark-canary-fuzzer-gap
2026-05-24T10:30:00Z,critical-path launches,critical-path launch,1,unknown
2026-05-24T11:00:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-24T11:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-24T12:00:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-24T12:30:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
