action,count,profile
concurrent-paragraphs,123,three-user-late-join
edit-table-array-attributes,118,revision-persistence
edit-table-array-attributes,118,three-user-late-join
edit-block-gauntlet-attributes,116,media-cross-entity
concurrent-paragraphs,116,revision-persistence
delete-block,115,three-user-late-join
move-block,110,revision-persistence
insert-nested-group,110,three-user-late-join
delete-nested-block,105,three-user-late-join
insert-async-server-block,105,three-user-late-join
insert-heading,95,three-user-late-join
move-block,90,permissions-auth-locks
edit-nested-paragraph,89,three-user-late-join
insert-nested-group,88,permissions-auth-locks
insert-async-server-block,85,permissions-auth-locks
concurrent-paragraphs,77,permissions-auth-locks
insert-heading,75,permissions-auth-locks
move-block-into-group,68,permissions-auth-locks
append-paragraph,67,permissions-auth-locks
move-block,66,media-cross-entity
insert-paragraph,66,permissions-auth-locks
edit-nested-paragraph,56,permissions-auth-locks
edit-paragraph,53,permissions-auth-locks
delete-nested-block,53,permissions-auth-locks
edit-common-block-attributes,52,common-blocks
edit-table-array-attributes,46,permissions-auth-locks
move-block,43,common-blocks
concurrent-paragraphs,39,many-user-lifecycle
insert-common-block,39,common-blocks
delete-block,36,permissions-auth-locks
insert-block-gauntlet-block,35,common-blocks
insert-paragraph,35,common-blocks
delete-block,31,common-blocks
ui-type-title,30,many-user-lifecycle
append-paragraph,29,common-blocks
insert-paragraph,28,full
assert-selection-cursor,28,many-user-lifecycle
edit-nested-paragraph,28,common-blocks
move-block-into-group,25,common-blocks
edit-block-gauntlet-attributes,23,common-blocks
move-block,21,many-user-lifecycle
edit-table-array-attributes,21,many-user-lifecycle
append-parser-stress-content,19,full
insert-common-block,19,full
insert-heading,19,many-user-lifecycle
edit-table-array-attributes,17,full
move-block-into-group,17,full
ui-type-paragraph,17,many-user-lifecycle
edit-paragraph,16,full
insert-nested-group,16,full
edit-rich-text-pair-block,16,full
insert-async-server-block,15,full
edit-common-block-attributes,13,full
edit-nested-paragraph,13,full
delete-block,13,full
edit-title,13,full
edit-block-gauntlet-attributes,12,full
insert-heading,12,full
edit-formatted-paragraph-at-cursor,12,full
reparse-edited-content,11,full
delete-nested-block,9,full
assert-selection-cursor-smoke,9,many-user-lifecycle
append-paragraph,8,full
insert-block-gauntlet-block,8,full
move-block,7,full
concurrent-paragraphs,6,full
