root,kind,artifacts
critical,report,861
critical,classification,176
critical,validation,61
critical,push_manifest,2
critical,context,1
deferred,report,551
deferred,push_manifest,432
finalization,finalization_report,288
finalization,push_manifest,111
finalization,branch_audit,37
fresh_pr_split,context,2
pr_progress,classification,42
pr_progress,report,42
pr_progress,push_manifest,12
pr_progress,context,1
pr_split,report,365
pr_split,push_manifest,114
pr_split,classification,79
pr_split,branch_audit,73
pr_split,owner_matrix,20
pr_split,finalization_report,14
pr_split,validation,5
pr_split,context,2
