feature,count,feature_category
operation-event-action:witnessed:revision-restore:title,281,operation-ledger
total-blocks:21,29,other
payload-size-profile:persistence-no-title:11,128,payload-size
payload-size-transport:http:11,237,payload-size
block-depth:core/search:0,849,block-depth
cdp:ed447a6c3dcee1f6,1,code coverage
profile:large-post-three-user-http-lifecycle,96,profile
transport-profile:http:large-post-three-user-http-lifecycle,96,transport
initial:large-document-75,34,initial-content
real-user-action-sequence:,45,real-user
cdp:991d297375ef6a49,1,code coverage
initial:base-2,100,initial-content
block:core/table,305,block
action:ui-table-cell-edit,39,action
action-pair:ui-table-cell-edit->table-stale-snapshot-html,1,action-pair
history-label:action:ui-table-cell-edit:invoke,39,history
history-label:action:ui-table-cell-edit:ok,39,history
operation-ledger-created:1,64,operation-ledger
operation-ledger-live:1,124,operation-ledger
operation-event-action:witnessed:ui-table-cell-edit:content,39,operation-ledger
total-blocks:11,48,other
serialized-size-log2:10,348,serialized-size
payload-size-profile:table-stale-snapshot-http:10,1,payload-size
payload-size-transport:http:10,190,payload-size
block-depth:core/table:0,311,block-depth
cdp:097bd73e09c51f69,1,code coverage
initial:html-entity-reference,122,initial-content
invariant:unexpected-invalid-blocks:observed,182,invariant
invariant-signal:unexpected-invalid-blocks,183,invariant
invalid-blocks:3,68,other
total-blocks:6,102,other
payload-size-profile:table-stale-snapshot-http:9,1,payload-size
payload-size-transport:http:9,21,payload-size
cdp:07b9f9e716c260dc,1,code coverage
profile:session-lifecycle,205,profile
transport-profile:http:session-lifecycle,170,transport
action:edit-title,184,action
action-pair:edit-title->append-paragraph,130,action-pair
action-pair:append-paragraph->edit-title,132,action-pair
action-pair:edit-title->concurrent-paragraphs,130,action-pair
action-pair:concurrent-paragraphs->edit-title,132,action-pair
lifecycle:lifecycle-reload:users-2,229,lifecycle
history-label:action:edit-title:invoke,184,history
history-label:action:edit-title:ok,184,history
history:revision-restore:fail,162,history
operation-ledger-live:8,318,operation-ledger
operation-event-action:witnessed:edit-title:title,184,operation-ledger
operation-event-action:retired:edit-title:title,154,operation-ledger
total-blocks:16,49,other
payload-size-profile:session-lifecycle:11,76,payload-size
cdp:144b1a766aa63573,1,code coverage
cdp:281406bd5a60078f,1,code coverage
cdp:16807a71a6ea401a,1,code coverage
cdp:03a58d1b96a2e3ed,1,code coverage
cdp:a001c9106577354f,1,code coverage
fault:fail:429,290,fault
cdp:0a2ce3c627c63297,1,code coverage
action:late-join-post-action,128,action
action-pair:assert-presence-list->late-join-post-action,13,action-pair
action-pair:late-join-post-action->assert-remote-cursor,11,action-pair
lifecycle:late-join-post-action:users-3,109,lifecycle
history-label:action:late-join-post-action:invoke,128,history
history-label:action:late-join-post-action:ok,128,history
operation-event-action:witnessed:late-join-post-action:content,128,operation-ledger
cdp:5450308ad10ef445,1,code coverage
payload-size-profile:collaboration-ui-signals:10,7,payload-size
payload-size-transport:ws:10,158,payload-size
cdp:c67b0fcf98a4e183,1,code coverage
users:11,1,users
payload-size-profile:many-user-lifecycle:8,5,payload-size
total-blocks:15,50,other
cdp:4d0f32a36a02c681,1,code coverage
reload-count:2,73,reload
real-user-action-sequence:ui-type-paragraph>late-join-post-action>ui-type-title>append-paragraph>insert-heading>concurrent-paragraphs,24,real-user
action:ui-type-paragraph,98,action
action:ui-type-title,90,action
action-pair:ui-type-paragraph->late-join-post-action,56,action-pair
action-pair:late-join-post-action->ui-type-title,58,action-pair
action-pair:ui-type-title->append-paragraph,62,action-pair
action-pair:concurrent-paragraphs->ui-type-paragraph,24,action-pair
action-pair:ui-type-paragraph->ui-type-title,60,action-pair
history-label:action:ui-type-paragraph:invoke,98,history
history-label:action:ui-type-paragraph:ok,98,history
history-label:action:ui-type-title:invoke,90,history
history-label:action:ui-type-title:ok,90,history
history:final-ui-witness-sweep:invoke,47,history
history:final-ui-witness-sweep:ok,40,history
history:final-persistence-publish:invoke,26,history
history:publish-ui-preflight:ok,26,history
history:publish-ui-readiness:ok,26,history
history:final-persistence-publish:ok,25,history
operation-event-action:witnessed:ui-type-paragraph:content,98,operation-ledger
operation-event-action:witnessed:ui-type-title:title,90,operation-ledger
operation-event-action:retired:ui-type-title:title,62,operation-ledger
operation-event-action:witnessed:final-ui-witness-sweep:content,46,operation-ledger
total-blocks:117,17,other
large-document:blocks-50,130,large-document
large-document:blocks-100,123,large-document
serialized-size-log2:13,32,serialized-size
payload-size-profile:large-post-three-user-http-lifecycle:13,29,payload-size
payload-size-transport:http:13,30,payload-size
cdp:de4c9f4482f2d211,1,code coverage
cdp:4665f081f3bb1f8d,1,code coverage
total-blocks:26,18,other
cdp:91a83e460ad3f06c,1,code coverage
total-blocks:19,31,other
cdp:5546bbdea692ce87,1,code coverage
operation-ledger-live:6,16,operation-ledger
cdp:d902fee782a37ea7,1,code coverage
cdp:b9a544e324651fc1,1,code coverage
total-blocks:120,104,other
cdp:9db32c285fe52024,1,code coverage
cdp:b93f440b8f21304e,1,code coverage
cdp:3252976bb823a402,1,code coverage
cdp:b414ac8cc4cbb08e,1,code coverage
initial:large-document-175,56,initial-content
step-count:36,56,step-count
real-user-template:body-save-reload,59,real-user
real-user-template:title-save-reload,57,real-user
serialized-size-log2:15,10,serialized-size
payload-size-profile:large-post-three-user-http-lifecycle:15,10,payload-size
payload-size-transport:http:15,10,payload-size
cdp:72a9f070054d1b6f,1,code coverage
save-count:2,390,save
history:reload:fail,35,history
serialized-size-log2:14,84,serialized-size
payload-size-profile:large-post-three-user-http-lifecycle:14,49,payload-size
payload-size-transport:http:14,49,payload-size
cdp:543719d9058f3a40,1,code coverage
initial:base-1,49,initial-content
reload-count:1,520,reload
action:edit-table-array-attributes,275,action
action:insert-paragraph,270,action
action-pair:edit-table-array-attributes->edit-paragraph,48,action-pair
action-pair:edit-paragraph->insert-heading,67,action-pair
action-pair:insert-heading->append-paragraph,51,action-pair
action-pair:append-paragraph->concurrent-paragraphs,45,action-pair
action-pair:concurrent-paragraphs->insert-paragraph,45,action-pair
action-pair:insert-paragraph->edit-paragraph,67,action-pair
history-label:action:edit-table-array-attributes:invoke,275,history
history-label:action:edit-table-array-attributes:ok,275,history
history-label:action:insert-paragraph:invoke,270,history
history-label:action:insert-paragraph:ok,270,history
operation-event-action:witnessed:edit-table-array-attributes:content,274,operation-ledger
operation-event-action:witnessed:insert-paragraph:content,270,operation-ledger
total-blocks:14,142,other
action:move-block,340,action
action-pair:append-paragraph->edit-table-array-attributes,59,action-pair
action-pair:edit-table-array-attributes->move-block,39,action-pair
action-pair:move-block->insert-paragraph,49,action-pair
action-pair:insert-paragraph->concurrent-paragraphs,45,action-pair
action-pair:concurrent-paragraphs->concurrent-paragraphs,40,action-pair
history-label:action:move-block:invoke,340,history
history-label:action:move-block:ok,340,history
operation-event-action:invalidated:edit-table-array-attributes:content,219,operation-ledger
total-blocks:24,28,other
initial:base-3,46,initial-content
action:delete-block,234,action
action-pair:edit-paragraph->edit-table-array-attributes,48,action-pair
action-pair:edit-table-array-attributes->insert-paragraph,32,action-pair
action-pair:insert-paragraph->delete-block,40,action-pair
action-pair:delete-block->move-block,53,action-pair
action-pair:move-block->edit-paragraph,50,action-pair
action-pair:edit-paragraph->edit-paragraph,35,action-pair
action-pair:edit-paragraph->delete-block,66,action-pair
history-label:action:delete-block:invoke,234,history
history-label:action:delete-block:ok,234,history
operation-event-action:invalidated:delete-block:content,203,operation-ledger
total-blocks:8,26,other
payload-size-profile:persistence-no-title:10,104,payload-size
initial:base-0,248,initial-content
action-pair:concurrent-paragraphs->append-paragraph,42,action-pair
action-pair:insert-heading->insert-paragraph,61,action-pair
action-pair:insert-paragraph->edit-table-array-attributes,26,action-pair
action-pair:edit-table-array-attributes->edit-table-array-attributes,44,action-pair
action-pair:edit-table-array-attributes->append-paragraph,37,action-pair
history:convergence:fail,68,history
payload-size-profile:persistence-no-title:8,2,payload-size
cdp:faec9ee70e315700,1,code coverage
total-blocks:23,35,other
