timestamp,message,event_type
2026-07-14T19:14:05Z,cannot assert validated release-candidate adoption because destination is missing branch=js2/all-merged-rebased-20260701 source=repair/pa-exact-same-user-delete-1150141-20260714 commit=5758dca9c01d68e226198802cae24e592f30e9b9,other
2026-07-14T19:14:05Z,controller run_once failed rc=1,other
2026-07-14T19:16:08Z,cannot assert validated release-candidate adoption because destination is missing branch=js2/all-merged-rebased-20260701 source=repair/pa-exact-same-user-delete-1150141-20260714 commit=5758dca9c01d68e226198802cae24e592f30e9b9,other
2026-07-14T19:16:08Z,controller run_once failed rc=1,other
2026-07-14T19:18:12Z,cannot assert validated release-candidate adoption because destination is missing branch=js2/all-merged-rebased-20260701 source=repair/pa-exact-same-user-delete-1150141-20260714 commit=5758dca9c01d68e226198802cae24e592f30e9b9,other
2026-07-14T19:18:12Z,controller run_once failed rc=1,other
2026-07-14T19:20:16Z,cannot assert validated release-candidate adoption because destination is missing branch=js2/all-merged-rebased-20260701 source=repair/pa-exact-same-user-delete-1150141-20260714 commit=5758dca9c01d68e226198802cae24e592f30e9b9,other
2026-07-14T19:20:16Z,controller run_once failed rc=1,other
2026-07-14T19:22:20Z,cannot assert validated release-candidate adoption because destination is missing branch=js2/all-merged-rebased-20260701 source=repair/pa-exact-same-user-delete-1150141-20260714 commit=5758dca9c01d68e226198802cae24e592f30e9b9,other
2026-07-14T19:22:20Z,controller run_once failed rc=1,other
2026-07-14T19:24:24Z,cannot assert validated release-candidate adoption because destination is missing branch=js2/all-merged-rebased-20260701 source=repair/pa-exact-same-user-delete-1150141-20260714 commit=5758dca9c01d68e226198802cae24e592f30e9b9,other
2026-07-14T19:24:24Z,controller run_once failed rc=1,other
2026-07-14T19:26:28Z,cannot assert validated release-candidate adoption because destination is missing branch=js2/all-merged-rebased-20260701 source=repair/pa-exact-same-user-delete-1150141-20260714 commit=5758dca9c01d68e226198802cae24e592f30e9b9,other
2026-07-14T19:26:28Z,controller run_once failed rc=1,other
